순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
3,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,POP!,나연 (TWICE),IM NAYEON
7,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
8,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,TOMBOY,(여자)아이들,I NEVER DIE
10,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
11,우리들의 블루스,임영웅,IM HERO
12,나의 X에게,경서,나의 X에게
13,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
14,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
15,그라데이션,10CM,5.3
16,Girls,aespa,Girls - The 2nd Mini Album
17,다시 만날 수 있을까,임영웅,IM HERO
18,Love story,볼빨간사춘기,Seoul
19,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
20,무지개,임영웅,IM HERO
21,내가 아니라도,주호,내가 아니라도
22,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
23,LOVE me,BE'O (비오),LOVE me
24,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
25,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
26,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
27,아버지,임영웅,IM HERO
28,손이 참 곱던 그대,임영웅,IM HERO
29,취중고백,김민석 (멜로망스),취중고백
30,A bientot,임영웅,IM HERO
31,사랑해 진짜,임영웅,IM HERO
32,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
33,ELEVEN,IVE (아이브),ELEVEN
34,인생찬가,임영웅,IM HERO
35,연애편지,임영웅,IM HERO
36,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
37,사랑역,임영웅,IM HERO
38,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
39,보금자리,임영웅,IM HERO
40,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
41,신호등,이무진,신호등
42,사랑해요 그대를,임영웅,IM HERO
43,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
44,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
45,Dynamite,방탄소년단,Dynamite (DayTime Version)
46,I LOVE U,WINNER,HOLIDAY
47,Yet To Come,방탄소년단,Proof
48,That's Hilarious,Charlie Puth,That's Hilarious
49,아무래도 난,주시크 (Joosiq),아무래도 난
50,STAY,The Kid LAROI,Stay
51,해요 (2022),#안녕,해요 (2022)
52,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
53,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun'
54,Butter,방탄소년단,Butter
55,MY BAG,(여자)아이들,I NEVER DIE
56,GANADARA (Feat. 아이유),박재범,GANADARA
57,눈을 감으면,WSG워너비,눈을 감으면
58,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
59,INVU,태연 (TAEYEON),INVU - The 3rd Album
60,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE
61,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17'
62,Weekend,태연 (TAEYEON),Weekend
63,Permission to Dance,방탄소년단,Butter / Permission to Dance
64,Next Level,aespa,Next Level
65,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST)
66,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
67,너를 생각해,주시크 (Joosiq),너를 생각해
68,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
69,Sparkling,청하,Bare&Rare Pt.1
70,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
71,BEAUTIFUL MONSTER,STAYC(스테이씨),WE NEED LOVE
72,팡파레,다비치,Season Note
73,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에
74,사랑이야,케이시 (Kassy),사랑이야
75,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
76,봄날,방탄소년단,YOU NEVER WALK ALONE
77,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
78,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
79,드라마,아이유,조각집
80,My Universe,Coldplay,My Universe
81,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
82,내 손을 잡아,아이유,최고의 사랑 OST Part.4
83,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
85,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
86,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
87,Bad Decisions,benny blanco,Bad Decisions
88,With you,지민,우리들의 블루스 OST Part 4
89,Off My Face,Justin Bieber,Justice (The Complete Edition)
90,strawberry moon,아이유,strawberry moon
91,미친 것처럼,V.O.S,아픔을 말하는
92,ZOOM,제시 (Jessi),ZOOM
93,Celebrity,아이유,IU 5th Album 'LILAC'
94,그 하루(feat.반하나),주호,그 하루
95,롤린 (Rollin'),브레이브걸스,Rollin'
96,Darl+ing,세븐틴,SEVENTEEN 4th Album 'Face the Sun'
97,라일락,아이유,IU 5th Album 'LILAC'
98,Savage,aespa,Savage - The 1st Mini Album
99,"스물다섯, 스물하나",자우림,"Goodbye, grief."
100,Somebody!,로꼬,Somebody
