순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 (가야G)
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 (4FIRE)
3,Attention,NewJeans,NewJeans
4,LOVE DIVE,IVE (아이브),IVE (아이브)
5,SNEAKERS,ITZY (있지),ITZY (있지)
6,POP!,나연 (TWICE),나연 (TWICE)
7,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸이 (PSY)
8,사랑은 늘 도망가,임영웅,임영웅
9,TOMBOY,(여자)아이들,(여자)아이들
10,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),BIG Naughty (서동현)
11,Hype boy,NewJeans,NewJeans
12,우리들의 블루스,임영웅,임영웅
13,그라데이션,10CM,10CM
14,나의 X에게,경서,경서
15,Girls,aespa,aespa
16,사랑인가 봐,멜로망스,멜로망스
17,FOREVER 1,소녀시대 (GIRLS' GENERATION),소녀시대 (GIRLS' GENERATION)
18,다시 만날 수 있을까,임영웅,임영웅
19,Love story,볼빨간사춘기,볼빨간사춘기
20,도깨비불 (Illusion),aespa,aespa
21,무지개,임영웅,임영웅
22,내가 아니라도,주호,주호
23,FEARLESS,LE SSERAFIM (르세라핌),LE SSERAFIM (르세라핌)
24,LOVE me,BE'O (비오),BE'O (비오)
25,이제 나만 믿어요,임영웅,임영웅
26,눈을 감으면,WSG워너비,WSG워너비
27,아버지,임영웅,임영웅
28,손이 참 곱던 그대,임영웅,임영웅
29,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),BIGBANG (빅뱅)
30,A bientot,임영웅,임영웅
31,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 (오아시소)
32,사랑해 진짜,임영웅,임영웅
33,열이올라요 (Heart Burn),선미,선미
34,인생찬가,임영웅,임영웅
35,취중고백,김민석 (멜로망스),김민석 (멜로망스)
36,연애편지,임영웅,임영웅
37,사랑역,임영웅,임영웅
38,보금자리,임영웅,임영웅
39,ELEVEN,IVE (아이브),IVE (아이브)
40,사랑해요 그대를,임영웅,임영웅
41,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,이석훈
42,I LOVE U,WINNER,WINNER
43,다정히 내 이름을 부르면,경서예지,경서예지
44,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Charlie Puth
45,신호등,이무진,이무진
46,Feel My Rhythm,Red Velvet (레드벨벳),Red Velvet (레드벨벳)
47,Yet To Come,방탄소년단,방탄소년단
48,아무래도 난,주시크 (Joosiq),주시크 (Joosiq)
49,해요 (2022),#안녕,#안녕
50,That's Hilarious,Charlie Puth,Charlie Puth
51,Dynamite,방탄소년단,방탄소년단
52,Cookie,NewJeans,NewJeans
53,STAY,The Kid LAROI,The Kid LAROI
54,_WORLD,세븐틴,세븐틴
55,I Ain't Worried,OneRepublic,OneRepublic
56,너의 모든 순간,성시경,성시경
57,MY BAG,(여자)아이들,(여자)아이들
58,HOT,세븐틴,세븐틴
59,사랑이야,케이시 (Kassy),케이시 (Kassy)
60,새벽에 걸려온 너의 전화는,한동근,한동근
61,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),케이시 (Kassy)
62,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,김승민
63,듣고 싶을까,MSG워너비(M.O.M),MSG워너비(M.O.M)
64,Sparkling,청하,청하
65,Butter,방탄소년단,방탄소년단
66,GANADARA (Feat. 아이유),박재범,박재범
67,INVU,태연 (TAEYEON),태연 (TAEYEON)
68,BEAUTIFUL MONSTER,STAYC(스테이씨),STAYC(스테이씨)
69,Weekend,태연 (TAEYEON),태연 (TAEYEON)
70,Bad Decisions,benny blanco,benny blanco
71,Permission to Dance,방탄소년단,방탄소년단
72,Next Level,aespa,aespa
73,팡파레,다비치,다비치
74,너를 생각해,주시크 (Joosiq),주시크 (Joosiq)
75,고백하는 취한밤에 (Prod. 2soo),임재현,임재현
76,SMILEY (Feat. BIBI),YENA (최예나),YENA (최예나)
77,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,sokodomo
78,바라만 본다,MSG워너비(M.O.M),MSG워너비(M.O.M)
79,드라마,아이유,아이유
80,봄날,방탄소년단,방탄소년단
81,Somebody!,로꼬,로꼬
82,밤하늘의 별을(2020),경서,경서
83,OHAYO MY NIGHT,디핵 (D-Hack),디핵 (D-Hack)
84,내 손을 잡아,아이유,아이유
85,언제나 사랑해,케이시 (Kassy),케이시 (Kassy)
86,My Universe,Coldplay,Coldplay
87,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),BE'O (비오)
88,그 하루(feat.반하나),주호,주호
89,사랑한다고 말해줘,탑현,탑현
90,미친 것처럼,V.O.S,V.O.S
91,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,폴킴
92,With you,지민,지민
93,주마등,김호중,김호중
94,Off My Face,Justin Bieber,Justin Bieber
95,strawberry moon,아이유,아이유
96,Celebrity,아이유,아이유
97,빛이 나는 사람,김호중,김호중
98,약속 [約束],김호중,김호중
99,롤린 (Rollin'),브레이브걸스,브레이브걸스
100,ZOOM,제시 (Jessi),제시 (Jessi)
