순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
3,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,TOMBOY,(여자)아이들,I NEVER DIE
7,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,POP!,나연 (TWICE),IM NAYEON
9,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
10,나의 X에게,경서,나의 X에게
11,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
12,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
13,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
14,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
15,Love story,볼빨간사춘기,Seoul
16,우리들의 블루스,임영웅,IM HERO
17,그라데이션,10CM,5.3
18,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
19,다시 만날 수 있을까,임영웅,IM HERO
20,Girls,aespa,Girls - The 2nd Mini Album
21,LOVE me,BE'O (비오),LOVE me
22,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
23,내가 아니라도,주호,내가 아니라도
24,신호등,이무진,신호등
25,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
26,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
27,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
28,취중고백,김민석 (멜로망스),취중고백
29,That's Hilarious,Charlie Puth,That's Hilarious
30,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
31,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
32,무지개,임영웅,IM HERO
33,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
34,해요 (2022),#안녕,해요 (2022)
35,ELEVEN,IVE (아이브),ELEVEN
36,Stay,The Kid LAROI & Justin Bieber,Stay
37,눈을 감으면,WSG워너비,눈을 감으면
38,아버지,임영웅,IM HERO
39,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
40,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
41,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
42,MY BAG,(여자)아이들,I NEVER DIE
43,A bientot,임영웅,IM HERO
44,I LOVE U,WINNER,HOLIDAY
45,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
46,팡파레,다비치,Season Note
47,GANADARA (Feat. 아이유),박재범,GANADARA
48,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
49,사랑해 진짜,임영웅,IM HERO
50,손이 참 곱던 그대,임영웅,IM HERO
51,Yet To Come,방탄소년단,Proof
